Symbol
NVDA
AAPL
MSFT
AVGO
PLTR
AMD
MU
ORCL
CSCO
IBM
BRK-B
JPM
V
MA
BAC
WFC
GS
MS
C
AXP
AMZN
TSLA
HD
MCD
COST
NKE
BKNG
TJX
LOW
SBUX
PG
PEP
WMT
KO
MDLZ
PM
WBA
CL
KHC
UPS
RTX
CAT
HON
GE
UNP
LMT
DE
BA
ADP
XOM
CVX
COP
EOG
SLB
MPC
PSX
VLO
OXY
KMI
LIN
NEM
SHW
ECL
NUE
VMC
MLM
FCX
APD
CTVA
LLY
JNJ
ABBV
UNH
MRK
ABT
TMO
ISRG
AMGN
GILD
NEE
CEG
SO
DUK
AEP
SRE
D
XEL
EXC
PEG
META
GOOGL
GOOG
NFLX
WBD
EA
DIS
TTWO
CMCSA
TMUS
WELL
PLD
AMT
EQIX
PSA
SPG
O
CBRE
DLR
CCI
CDW
ROST
AJG
AMP
FICO
PH
WMB
TRGP
PCAR
WCN
HPE
RF
L
RNR
RGA
DFS
ALLY
SBNY
BPOP
CBSH
SFM
INSM
GH
KTOS
PCVX
SSB
FTAI
RKLB
AIT
CRDO
FOLD
PRAX
TVTX
BMRN
HALO
EXEL
REGN
ROIV
MDGL
MRNA
VRTX
BIIB
ILMN
ALNY
RPRX
TECH
BMY
BLK
SCHW
CRM
ADBE
INTU
VTYX
GME
TSLL
TLT
SOUN
CVNA
ARKK
HIMS
VST
VXX
ONDS
CONL
BBAI
APP
RUT
PLUG
XOP
FSLR
CRWD
PDD
WULF
CIFR
COIN
TMF
MLYS
RGTI
MPW
PANW
CRCL
OPEN
CELH
DIA
BABA
GRAB
FXI
XYZ
MRVL
LCID
HYG
SPY
SPX
XSP
HOOD
APLD
JD
F
IEF
AI
EEM
RDDT
RIOT
PFE
SMH
USAR
KWEB
UPST
PBR
SNOW
SOXL
DELL
MP
BMNR
AAL
ZETA
BILI
XLF
QQQ
EFA
TSM
XBI
SOFI
SMCI
TQQQ
USO
AGNC
ARM
EBAY
QBTS
CRWV
DKNG
VALE
XLU
KRE
MSTR
ABR
HAL
QCOM
UBER
XLE
EOSE
CLF
ETHA
KBE
LVS
NIO
POET
UUUU
LQD
EWZ
SNAP
NOW
GM
NVTS
HPQ
NVO
RKT
IBIT
T
PATH
BIDU
SMR
COMP
MARA
VZ
VIX
SOXS
NOK
COHR
RR
RIVN
CRML
UAA
PYPL
OKLO
LRCX
NDX
INTC
ASTS
IREN
MBLY
BE
SLS
INVH
NBIS
RBLX
GLD
SGML
CLOV
SNDK
AG
GDX
WDC
UNG
NN
GOSS
HL
SLV
SILJ
UVXY
EWW
GDXJ
VERI
KDK
GEVO
SEE
CWAN
GES
SPCE
RIG
BULL
WRD
CABA
BITF
VOC
NU
DPRO
VICI
TOI
NEOG
BB
AMPX
VLY
KEY
VZLA
LYFT
NAT
BFLY
AM
FUBO
CVE
HTZ
ABCL
PCG
ASHR
PTEN
CMBT
MIST
ARCC
SLI
EVTL
WEN
BLDP
LAR
ACHR
GIS
WU
PK
EB
JBLU
IVZ
JBS
TFC
EVLV
KDP
MSOS
IBRX
ERAS
VTEB
DHT
BTBT
PFLT
TGNA
RITM
NXE
IQ
ACTG
AHCO
GROY
RLX
PGEN
BLND
FLG
RXRX
PAGS
PNNT
SRG
NXDR
MPLX
DVS
MOS
XLB
GDRX
CTRM
NWL
KVUE
ARDX
SANA
NEXT
LAC
IMPP
LODE
QIPT
EQX
ULCC
GT
BHR
RMNI
PSKY
MTCH
CORZ
BRR
KODK
ANIX
INFY
DAVA
DOW
HE
CLSK
NNOX
ABUS
PTLO
FF
EXK
SSYS
IEP
EU
HUN
IRDM
FRMI
LX
FNKO
AHH
FSM
AMPY
GTE
EVH
PLTK
FMC
FISV
EBON
GOCO
