CMCSA
CHTR
APA
ALL
MOS
EIX
T
HPQ
DVN
VZ
AES
ACGL
GIS
PHM
SYF
CF
SOLV
UHS
DAL
FANG
GL
BG
EOG
VICI
MO
FISV
GPN
TRV
UBER
HIG
MOH
UAL
DVA
OMC
PGR
PYPL
CTRA
TROW
CINF
F
DOV
CI
DHI
RF
USB
TGT
HBAN
CB
MTB
OKE
PFG
PCG
TFC
CPB
LEN
AMP
AIG
COP
STT
PNC
XYZ
AFL
AIZ
MRK
PFE
WRB
LULU
LW
FITB
MET
MTCH
FOX
L
BAC
ELV
EXC
WFC
DELL
ABT
CCL
WTW
DECK
NVR
PRU
JPM
CLX
RJF
UPS
NEM
DIS
KMB
CDW
NTRS
C
AEP
BIIB
FDX
GM
HST
SLB
CFG
MAS
BKR
BK
ED
INCY
EQT
XOM
UNH
LDOS
GEHC
PNW
NTAP
DUK
HCA
NCLH
ES
PEG
GILD
FDS
PPG
BMY
MPC
FSLR
SNA
MS
GS
AOS
TMUS
AEE
REGN
IVZ
FE
DTE
UNP
ESS
PAYC
D
SWKS
EBAY
JNJ
CTSH
WEC
SYY
GDDY
EVRG
CMS
MDLZ
TXT
ADBE
BALL
RCL
LNT
PG
DGX
EQR
NRG
AVY
BLDR
NOC
DRI
LOW
COIN
HAL
ZTS
CARR
HON
PKG
IT
APO
SO
WSM
LII
GPC
JCI
NI
NSC
POOL
ALLE
KMI
ATO
XEL
MMC
AVB
CVX
ETR
CPAY
CL
AWK
GD
FFIV
SBAC
KVUE
STLD
CSX
KO
AZO
PCAR
ERIE
MKC
ZBH
ACN
STZ
NUE
PPL
URI
BBY
DPZ
TRGP
SCHW
KDP
CPRT
SMCI
CNP
BRO
MPWR
HD
ITW
KIM
CRH
TSCO
DG
ADM
HSIC
LH
EG
AKAM
ULTA
NEE
EME
AMCR
MCK
SPG
AMGN
ZBRA
RMD
AXP
EXPD
CME
PAYX
HUM
WYNN
FRT
HII
PNR
ADP
GRMN
HRL
MCD
MMM
PEP
KEY
OTIS
MDT
RL
CHD
DE
SRE
AMT
WDC
HSY
VLTO
CSCO
LVS
BEN
CBOE
PSA
AON
SWK
CMI
BLK
PTC
GNRC
BR
JKHY
META
HUBB
PM
VRSN
EXPE
GWW
LMT
GEN
TT
IEX
MAA
NXPI
LIN
ICE
ROST
EXE
SW
YUM
CTVA
NDSN
ROP
HOLX
EXR
CAH
MSI
MU
CAT
OXY
RSG
FTV
WMB
ORLY
TDY
A
ETN
FTNT
GOOG
PH
REG
WAB
AMAT
ABNB
ALGN
VRTX
AME
SHW
IQV
EPAM
MLM
CHRW
IBKR
MSFT
VRSK
MAR
WM
TXN
ODFL
JBL
CMG
AAPL
CRM
AMZN
V
TJX
LHX
TMO
BDX
BKNG
EMR
JBHT
VMC
NDAQ
ORCL
EW
IBM
XYL
WAT
STX
MTD
MSCI
CEG
TEL
MA
STE
QCOM
PLD
NWS
NFLX
DXCM
FCX
NKE
RTX
ECL
FAST
SPGI
PSX
DLR
WMT
VLO
WST
CBRE
CTAS
FIX
EFX
KLAC
GE
AJG
COR
TSN
KEYS
TTD
MCO
TDG
HLT
MNST
TPL
LRCX
COO
BX
INTU
CPT
APH
NVDA
ANET
HOOD
SYK
DHR
COST
RVTY
INVH
WY
BSX
ROK
LLY
ADSK
VST
TRMB
GLW
SBUX
O
KR
IDXX
ROL
KKR
J
HWM
EA
FICO
PWR
IR
TYL
SNPS
LUV
ADI
APTV
AVGO
EQIX
ARES
ISRG
APP
TER
ON
TKO
CDNS
PODD
UDR
WDAY
NOW
CVNA
AMD
GEV
LYV
COF
DASH
TPR
PANW
TECH
WELL
VTR
WBD
IRM
ABBV
AXON
CVS
FIS
MGM
TSLA
PLTR
DDOG
CSGP
INTC
TTWO
DOW
DD
DAY
ARE
HAS
BXP
Q
DLTR
EL
SNDK
IFF
CRWD
CNC
ALB
BAX
CRL
VTRS
LYB
HPE
APD
CAG
MCHP
TAP
MRNA
SJM
KHC
BA
CCI
DOC
PSKY
IP
