AZN.L
HSBA.L
SHEL.L
RIO.L
RR.L
ULVR.L
BATS.L
GSK.L
BARC.L
BP.L
NG.L
LLOY.L
REL.L
BA.L
NWG.L
GLEN.L
LSEG.L
RKT.L
STAN.L
CPG.L
DGE.L
AAL.L
ANTO.L
HLN.L
EXPN.L
III.L
CCL.L
PRU.L
TSCO.L
SSE.L
FRES.L
VOD.L
IMB.L
AHT.L
AV.L
IAG.L
BTA.L
NXT.L
ABF.L
IHG.L
LGEN.L
HLMA.L
AAF.L
CCH.L
SMT.L
RTO.L
INF.L
SN.L
SGE.L
SGRO.L
ADM.L
SVT.L
UU.L
PSH.L
CNA.L
MRO.L
SMIN.L
WEIR.L
DPLM.L
SBRY.L
STJ.L
PHNX.L
BAB.L
ITRK.L
MNG.L
PSON.L
MKS.L
BNZL.L
IMI.L
SDR.L
GAW.L
FCIT.L
ICG.L
KGF.L
BTRW.L
MTLN.L
PCT.L
SPX.L
ALW.L
AUTO.L
BRBY.L
LAND.L
INVP.L
ENT.L
CTEC.L
BEZ.L
LMP.L
HWDN.L
HSX.L
IGG.L
PSN.L
WTB.L
BBOX.L
BLND.L
JD.L
MNDI.L
BGEO.L
JMAT.L
N91.L
DCC.L
RMV.L
TW.L
EZJ.L
BKG.L
CRDA.L
ABDN.L
WPP.L
BBY.L
3IN.L
HIK.L
JGGI.L
BWY.L
CCC.L
RCP.L
RS1.L
HBR.L
DRX.L
ITV.L
FRAS.L
SRP.L
SHC.L
EMG.L
ROR.L
SCT.L
UTG.L
INCH.L
CTY.L
RSW.L
PHP.L
CWK.L
PNN.L
QQ.L
PLUS.L
ITH.L
MNKS.L
HOC.L
QLT.L
SHAW.L
BPT.L
PAF.L
TEM.L
IWG.L
DNLM.L
HGT.L
MGNS.L
INPP.L
OCDO.L
JUST.L
OSB.L
HICL.L
TBCG.L
JTC.L
MTO.L
FEV.L
UKW.L
VTY.L
BYG.L
DLN.L
RAT.L
MYI.L
ATT.L
JAM.L
GFTU.L
HILS.L
AJB.L
HMSO.L
GRG.L
TCAP.L
MRC.L
GDWN.L
GNS.L
HTWS.L
PNL.L
SAFE.L
SSON.L
BME.L
TRIG.L
PIN.L
BRWM.L
PAG.L
ENOG.L
COA.L
TATE.L
MAB.L
SSPG.L
FCSS.L
WWH.L
SRE.L
LRE.L
PFD.L
LWDB.L
SVS.L
GRI.L
JMGI.L
CURY.L
ONT.L
BHMG.L
CHG.L
FSV.L
TPK.L
BAKK.L
GPE.L
BNKR.L
WIZZ.L
RHIM.L
FAN.L
ASL.L
BOY.L
ATYM.L
OXIG.L
CKN.L
KNOS.L
SEQI.L
KLR.L
HRI.L
ASHM.L
IHP.L
DWL.L
JFJ.L
FOUR.L
PRN.L
BREE.L
EDIN.L
TMPL.L
TEP.L
WOSG.L
GNC.L
AGT.L
SUPR.L
TRY.L
FGP.L
VSVS.L
OCI.L
MONY.L
FGT.L
ELM.L
KIE.L
TFIF.L
PPET.L
BCG.L
SDP.L
IAD.L
GROW.L
SNR.L
EWG.L
MUT.L
OXB.L
ZIG.L
CMCX.L
JUP.L
HAS.L
RICA.L
PETS.L
TRN.L
BYIT.L
MTRO.L
SAIN.L
PTEC.L
GEN.L
USA.L
GAMA.L
SOI.L
CGT.L
EWI.L
JDW.L
SMWH.L
WKP.L
CBG.L
IEM.L
GSCT.L
THG.L
PAGE.L
PPH.L
DOCS.L
TRST.L
XPS.L
NBPE.L
BGFD.L
BAG.L
PHI.L
CSN.L
SPI.L
DOM.L
AML.L
MOON.L
APN.L
PEY.L
AO.L
THRL.L
GCP.L
MGAM.L
ALFA.L
ESCT.L
VOF.L
JEGI.L
SYNC.L
GBG.L
CHRY.L
DSCV.L
VCT.L
RPI.L
MEGP.L
JEDT.L
HTG.L
SEIT.L
POLN.L
BRGE.L
HWG.L
AVON.L
ATR.L
AEP.L
IBST.L
AAS.L
RTW.L
BRSC.L
JSG.L
ESP.L
WIX.L
IPF.L
GFRD.L
PINT.L
HSL.L
IPO.L
FSG.L
FEML.L
FUTR.L
UEM.L
CCR.L
THRG.L
NAS.L
AIE.L
CWR.L
JIGI.L
RNK.L
BOWL.L
MSLH.L
HFG.L
NCC.L
BSIF.L
PCGH.L
